genes	Symbol	Entrezid	Genename
ENSMUSG00000028656	Cap1	12331	CAP, adenylate cyclase-associated protein 1 (yeast)
ENSMUSG00000028657	Ppt1	19063	palmitoyl-protein thioesterase 1
ENSMUSG00000028661	Epha8	13842	Eph receptor A8
ENSMUSG00000028664	Ephb2	13844	Eph receptor B2
ENSMUSG00000028668	Eloa	27224	elongin A
ENSMUSG00000028669	Pithd1	66193	PITH (C-terminal proteasome-interacting domain of thioredoxin-like) domain containing 1
ENSMUSG00000028670	Lypla2	26394	lysophospholipase 2
ENSMUSG00000028671	Gale	74246	galactose-4-epimerase, UDP
ENSMUSG00000028672	Hmgcl	15356	3-hydroxy-3-methylglutaryl-Coenzyme A lyase
ENSMUSG00000028673	Fuca1	71665	fucosidase, alpha-L- 1, tissue
ENSMUSG00000028675	Pnrc2	52830	proline-rich nuclear receptor coactivator 2
ENSMUSG00000028676	Srsf10	14105	serine/arginine-rich splicing factor 10
ENSMUSG00000028677	Rnf220	66743	ring finger protein 220
ENSMUSG00000028680	Plk3	12795	polo like kinase 3
ENSMUSG00000028681	Ptch2	19207	patched 2
ENSMUSG00000028683	Eif2b3	108067	eukaryotic translation initiation factor 2B, subunit 3
ENSMUSG00000028684	Urod	22275	uroporphyrinogen decarboxylase
ENSMUSG00000028687	Mutyh	70603	mutY DNA glycosylase
ENSMUSG00000028688	Toe1	68276	target of EGR1, member 1 (nuclear)
ENSMUSG00000028689	Ccdc163	68394	coiled-coil domain containing 163
ENSMUSG00000028690	Mmachc	67096	methylmalonic aciduria cblC type, with homocystinuria
ENSMUSG00000028691	Prdx1	18477	peroxiredoxin 1
ENSMUSG00000028692	Akr1a1	58810	aldo-keto reductase family 1, member A1 (aldehyde reductase)
ENSMUSG00000028693	Nasp	50927	nuclear autoantigenic sperm protein (histone-binding)
ENSMUSG00000028696	Ipp	16351	IAP promoted placental gene
ENSMUSG00000028698	Pik3r3	18710	phosphoinositide-3-kinase regulatory subunit 3
ENSMUSG00000028700	Pomgnt1	68273	protein O-linked mannose beta 1,2-N-acetylglucosaminyltransferase
ENSMUSG00000028701	Lurap1	68075	leucine rich adaptor protein 1
ENSMUSG00000028702	Rad54l	19366	RAD54 like (S. cerevisiae)
ENSMUSG00000028703	Lrrc41	230654	leucine rich repeat containing 41
ENSMUSG00000028706	Nsun4	72181	NOL1/NOP2/Sun domain family, member 4
ENSMUSG00000028708	Mknk1	17346	MAP kinase-interacting serine/threonine kinase 1
ENSMUSG00000028709	Mob3c	100465	MOB kinase activator 3C
ENSMUSG00000028710	Atpaf1	230649	ATP synthase mitochondrial F1 complex assembly factor 1
ENSMUSG00000028717	Tal1	21349	T cell acute lymphocytic leukemia 1
ENSMUSG00000028719	Cmpk1	66588	cytidine monophosphate (UMP-CMP) kinase 1
ENSMUSG00000028729	Ebna1bp2	69072	EBNA1 binding protein 2
ENSMUSG00000028730	Cfap57	68625	cilia and flagella associated protein 57
ENSMUSG00000028737	Aldh4a1	212647	aldehyde dehydrogenase 4 family, member A1
ENSMUSG00000028741	Mrto4	69902	mRNA turnover 4, ribosome maturation factor
ENSMUSG00000028743	Akr7a5	110198	aldo-keto reductase family 7, member A5 (aflatoxin aldehyde reductase)
ENSMUSG00000028744	Pqlc2	212555	PQ loop repeat containing 2
ENSMUSG00000028745	Capzb	12345	capping protein (actin filament) muscle Z-line, beta
ENSMUSG00000028747	Htr6	15565	5-hydroxytryptamine (serotonin) receptor 6
ENSMUSG00000028749	Pla2g2f	26971	phospholipase A2, group IIF
ENSMUSG00000028753	Vwa5b1	75718	von Willebrand factor A domain containing 5B1
ENSMUSG00000028755	Cda	72269	cytidine deaminase
ENSMUSG00000028756	Pink1	68943	PTEN induced putative kinase 1
ENSMUSG00000028757	Ddost	13200	dolichyl-di-phosphooligosaccharide-protein glycotransferase
ENSMUSG00000028758	Kif17	16559	kinesin family member 17
ENSMUSG00000028759	Hp1bp3	15441	heterochromatin protein 1, binding protein 3
ENSMUSG00000028760	Eif4g3	230861	eukaryotic translation initiation factor 4 gamma, 3
ENSMUSG00000028763	Hspg2	15530	perlecan (heparan sulfate proteoglycan 2)
ENSMUSG00000028766	Alpl	11647	alkaline phosphatase, liver/bone/kidney
ENSMUSG00000028771	Ptpn12	19248	protein tyrosine phosphatase, non-receptor type 12
ENSMUSG00000028772	Zcchc17	619605	zinc finger, CCHC domain containing 17
ENSMUSG00000028773	Fabp3	14077	fatty acid binding protein 3, muscle and heart
ENSMUSG00000028776	Tinagl1	94242	tubulointerstitial nephritis antigen-like 1
ENSMUSG00000028778	Hcrtr1	230777	hypocretin (orexin) receptor 1
ENSMUSG00000028779	Pef1	67898	penta-EF hand domain containing 1
ENSMUSG00000028780	Sema3c	20348	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C
ENSMUSG00000028782	Adgrb2	230775	adhesion G protein-coupled receptor B2
ENSMUSG00000028785	Hpca	15444	hippocalcin
ENSMUSG00000028788	Ptp4a2	19244	protein tyrosine phosphatase 4a2
ENSMUSG00000028789	Azin2	242669	antizyme inhibitor 2
ENSMUSG00000028790	Khdrbs1	20218	KH domain containing, RNA binding, signal transduction associated 1
ENSMUSG00000028792	Ak2	11637	adenylate kinase 2
ENSMUSG00000028793	Rnf19b	75234	ring finger protein 19B
ENSMUSG00000028795	Ccdc28b	66264	coiled coil domain containing 28B
ENSMUSG00000028796	Phc2	54383	polyhomeotic 2
ENSMUSG00000028797	Tmem234	76799	transmembrane protein 234
ENSMUSG00000028798	Eif3i	54709	eukaryotic translation initiation factor 3, subunit I
ENSMUSG00000028799	Zfp362	230761	zinc finger protein 362
ENSMUSG00000028800	Hdac1	433759	histone deacetylase 1
ENSMUSG00000028801	Stpg1	78806	sperm tail PG rich repeat containing 1
ENSMUSG00000028803	Nipal3	74552	NIPA-like domain containing 3
ENSMUSG00000028804	Csmd2	329942	CUB and Sushi multiple domains 2
ENSMUSG00000028807	Zbtb8a	73680	zinc finger and BTB domain containing 8a
ENSMUSG00000028809	Srrm1	51796	serine/arginine repetitive matrix 1
ENSMUSG00000028811	Yars	107271	tyrosyl-tRNA synthetase
ENSMUSG00000028813	CK137956	635169	cDNA sequence CK137956
ENSMUSG00000028820	Sfpq	71514	splicing factor proline/glutamine rich (polypyrimidine tract binding protein associated)
ENSMUSG00000028821	Syf2	68592	SYF2 homolog, RNA splicing factor (S. cerevisiae)
ENSMUSG00000028822	Tmem50a	71817	transmembrane protein 50A
ENSMUSG00000028826	Tmem57	66146	transmembrane protein 57
ENSMUSG00000028830	AU040320	100317	expressed sequence AU040320
ENSMUSG00000028832	Stmn1	16765	stathmin 1
ENSMUSG00000028833	Ncdn	26562	neurochondrin
ENSMUSG00000028836	Slc30a2	230810	solute carrier family 30 (zinc transporter), member 2
ENSMUSG00000028837	Psmb2	26445	proteasome (prosome, macropain) subunit, beta type 2
ENSMUSG00000028838	Extl1	56219	exostoses (multiple)-like 1
ENSMUSG00000028840	Zfp593	68040	zinc finger protein 593
ENSMUSG00000028842	Ago3	214150	argonaute RISC catalytic subunit 3
ENSMUSG00000028843	Sh3bgrl3	73723	SH3 domain binding glutamic acid-rich protein-like 3
ENSMUSG00000028845	Tekt2	24084	tektin 2
ENSMUSG00000028847	Trappc3	27096	trafficking protein particle complex 3
ENSMUSG00000028848	Gpn2	100210	GPN-loop GTPase 2
ENSMUSG00000028849	Map7d1	245877	MAP7 domain containing 1
ENSMUSG00000028850	Gpatch3	242691	G patch domain containing 3
ENSMUSG00000028851	Nudc	18221	nudC nuclear distribution protein
ENSMUSG00000028854	Slc9a1	20544	solute carrier family 9 (sodium/hydrogen exchanger), member 1
ENSMUSG00000028857	Tmem222	52174	transmembrane protein 222
ENSMUSG00000028859	Csf3r	12986	colony stimulating factor 3 receptor (granulocyte)
ENSMUSG00000028860	Sytl1	269589	synaptotagmin-like 1
ENSMUSG00000028861	Mrps15	66407	mitochondrial ribosomal protein S15
ENSMUSG00000028862	Map3k6	53608	mitogen-activated protein kinase kinase kinase 6
ENSMUSG00000028863	Meaf6	70088	MYST/Esa1-associated factor 6
ENSMUSG00000028864	Hgf	15234	hepatocyte growth factor
ENSMUSG00000028865	Cd164l2	69655	CD164 sialomucin-like 2
ENSMUSG00000028868	Wasf2	242687	WAS protein family, member 2
ENSMUSG00000028869	Gnl2	230737	guanine nucleotide binding protein-like 2 (nucleolar)
ENSMUSG00000028871	Rspo1	192199	R-spondin 1
ENSMUSG00000028873	Cdca8	52276	cell division cycle associated 8
ENSMUSG00000028876	Epha10	230735	Eph receptor A10
ENSMUSG00000028878	Fam76a	230789	family with sequence similarity 76, member A
ENSMUSG00000028879	Stx12	100226	syntaxin 12
ENSMUSG00000028882	Ppp1r8	100336	protein phosphatase 1, regulatory (inhibitor) subunit 8
ENSMUSG00000028883	Sema3a	20346	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A
ENSMUSG00000028884	Rpa2	19891	replication protein A2
ENSMUSG00000028885	Smpdl3b	100340	sphingomyelin phosphodiesterase, acid-like 3B
ENSMUSG00000028886	Eya3	14050	EYA transcriptional coactivator and phosphatase 3
ENSMUSG00000028889	Yrdc	230734	yrdC domain containing (E.coli)
ENSMUSG00000028890	Mtf1	17764	metal response element binding transcription factor 1
ENSMUSG00000028893	Sesn2	230784	sestrin 2
ENSMUSG00000028894	Inpp5b	16330	inositol polyphosphate-5-phosphatase B
ENSMUSG00000028896	Rcc1	100088	regulator of chromosome condensation 1
ENSMUSG00000028898	Trnau1ap	71787	tRNA selenocysteine 1 associated protein 1
ENSMUSG00000028899	Taf12	66464	TATA-box binding protein associated factor 12
ENSMUSG00000028901	Gmeb1	56809	glucocorticoid modulatory element binding protein 1
ENSMUSG00000028902	Sf3a3	75062	splicing factor 3a, subunit 3
ENSMUSG00000028906	Epb41	269587	erythrocyte membrane protein band 4.1
ENSMUSG00000028907	Utp11	67205	UTP11 small subunit processome component
ENSMUSG00000028909	Ptpru	19273	protein tyrosine phosphatase, receptor type, U
ENSMUSG00000028910	Mecr	26922	mitochondrial trans-2-enoyl-CoA reductase
ENSMUSG00000028911	Srsf4	57317	serine/arginine-rich splicing factor 4
ENSMUSG00000028914	Casp9	12371	caspase 9
ENSMUSG00000028917	Plekhm2	69582	pleckstrin homology domain containing, family M (with RUN domain) member 2
ENSMUSG00000028919	Arhgef19	213649	Rho guanine nucleotide exchange factor (GEF) 19
ENSMUSG00000028920	Fbxo42	213499	F-box protein 42
ENSMUSG00000028923	Necap2	66147	NECAP endocytosis associated 2
ENSMUSG00000028926	Cdk14	18647	cyclin-dependent kinase 14
ENSMUSG00000028927	Padi2	18600	peptidyl arginine deiminase, type II
ENSMUSG00000028931	Kcnab2	16498	potassium voltage-gated channel, shaker-related subfamily, beta member 2
ENSMUSG00000028932	Psmc2	19181	proteasome (prosome, macropain) 26S subunit, ATPase 2
ENSMUSG00000028933	Xrcc2	57434	X-ray repair complementing defective repair in Chinese hamster cells 2
ENSMUSG00000028936	Rpl22	19934	ribosomal protein L22
ENSMUSG00000028937	Acot7	70025	acyl-CoA thioesterase 7
ENSMUSG00000028943	Espn	56226	espin
ENSMUSG00000028944	Prkag2	108099	protein kinase, AMP-activated, gamma 2 non-catalytic subunit
ENSMUSG00000028945	Rheb	19744	Ras homolog enriched in brain
ENSMUSG00000028948	Nol9	74035	nucleolar protein 9
ENSMUSG00000028949	Smarcd3	66993	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3
ENSMUSG00000028950	Tas1r1	110326	taste receptor, type 1, member 1
ENSMUSG00000028952	Zbtb48	100090	zinc finger and BTB domain containing 48
ENSMUSG00000028953	Abcf2	27407	ATP-binding cassette, sub-family F (GCN20), member 2
ENSMUSG00000028954	Nub1	53312	negative regulator of ubiquitin-like proteins 1
ENSMUSG00000028955	Vamp3	22319	vesicle-associated membrane protein 3
ENSMUSG00000028957	Per3	18628	period circadian clock 3
ENSMUSG00000028958	Tmub1	64295	transmembrane and ubiquitin-like domain containing 1
ENSMUSG00000028959	Fastk	66587	Fas-activated serine/threonine kinase
ENSMUSG00000028960	Ube4b	63958	ubiquitination factor E4B
ENSMUSG00000028961	Pgd	110208	phosphogluconate dehydrogenase
ENSMUSG00000028962	Slc4a2	20535	solute carrier family 4 (anion exchanger), member 2
ENSMUSG00000028964	Park7	57320	Parkinson disease (autosomal recessive, early onset) 7
ENSMUSG00000028967	Errfi1	74155	ERBB receptor feedback inhibitor 1
ENSMUSG00000028969	Cdk5	12568	cyclin-dependent kinase 5
ENSMUSG00000028970	Abcb1b	18669	ATP-binding cassette, sub-family B (MDR/TAP), member 1B
ENSMUSG00000028971	Cort	12854	cortistatin
ENSMUSG00000028973	Abcb8	74610	ATP-binding cassette, sub-family B (MDR/TAP), member 8
ENSMUSG00000028974	Dffa	13347	DNA fragmentation factor, alpha subunit
ENSMUSG00000028975	Pex14	56273	peroxisomal biogenesis factor 14
ENSMUSG00000028976	Slc2a5	56485	solute carrier family 2 (facilitated glucose transporter), member 5
ENSMUSG00000028977	Casz1	69743	castor zinc finger 1
ENSMUSG00000028978	Nos3	18127	nitric oxide synthase 3, endothelial cell
ENSMUSG00000028980	H6pd	100198	hexose-6-phosphate dehydrogenase (glucose 1-dehydrogenase)
ENSMUSG00000028982	Slc25a33	70556	solute carrier family 25, member 33
ENSMUSG00000028986	Klhl7	52323	kelch-like 7
ENSMUSG00000028988	Ctnnbip1	67087	catenin beta interacting protein 1
ENSMUSG00000028990	Lzic	69151	leucine zipper and CTNNBIP1 domain containing
ENSMUSG00000028991	Mtor	56717	mechanistic target of rapamycin (serine/threonine kinase)
ENSMUSG00000028992	Nmnat1	66454	nicotinamide nucleotide adenylyltransferase 1
ENSMUSG00000028995	Fam126a	84652	family with sequence similarity 126, member A
ENSMUSG00000028998	Tomm7	66169	translocase of outer mitochondrial membrane 7 homolog (yeast)
ENSMUSG00000028999	Rint1	72772	RAD50 interactor 1
ENSMUSG00000029001	Fbxo44	230903	F-box protein 44
ENSMUSG00000029003	Mad2l2	71890	MAD2 mitotic arrest deficient-like 2
ENSMUSG00000029004	Kmt2e	69188	lysine (K)-specific methyltransferase 2E
ENSMUSG00000029005	Draxin	70433	dorsal inhibitory axon guidance protein
ENSMUSG00000029007	Agtrap	11610	angiotensin II, type I receptor-associated protein
ENSMUSG00000029009	Mthfr	17769	5,10-methylenetetrahydrofolate reductase
ENSMUSG00000029012	Orc5	26429	origin recognition complex, subunit 5
ENSMUSG00000029014	Dnajc2	22791	DnaJ heat shock protein family (Hsp40) member C2
ENSMUSG00000029016	Clcn6	26372	chloride channel, voltage-sensitive 6
ENSMUSG00000029017	Pmpcb	73078	peptidase (mitochondrial processing) beta
ENSMUSG00000029020	Mfn2	170731	mitofusin 2
ENSMUSG00000029022	Miip	28010	migration and invasion inhibitory protein
ENSMUSG00000029026	Trp73	22062	transformation related protein 73
ENSMUSG00000029027	Dffb	13368	DNA fragmentation factor, beta subunit
ENSMUSG00000029028	Lrrc47	72946	leucine rich repeat containing 47
ENSMUSG00000029029	Wrap73	59002	WD repeat containing, antisense to Trp73
ENSMUSG00000029030	Tprgl	67808	transformation related protein 63 regulated like
ENSMUSG00000029032	Arhgef16	230972	Rho guanine nucleotide exchange factor (GEF) 16
ENSMUSG00000029033	Acap3	140500	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3
ENSMUSG00000029034	Ints11	71957	integrator complex subunit 11
ENSMUSG00000029036	Atad3a	108888	ATPase family, AAA domain containing 3A
ENSMUSG00000029038	Ssu72	68991	Ssu72 RNA polymerase II CTD phosphatase homolog (yeast)
ENSMUSG00000029047	Pex10	668173	peroxisomal biogenesis factor 10
ENSMUSG00000029048	Rer1	67830	retention in endoplasmic reticulum sorting receptor 1
ENSMUSG00000029049	Morn1	76866	MORN repeat containing 1
ENSMUSG00000029050	Ski	20481	ski sarcoma viral oncogene homolog (avian)
ENSMUSG00000029053	Prkcz	18762	protein kinase C, zeta
ENSMUSG00000029054	Gabrd	14403	gamma-aminobutyric acid (GABA) A receptor, subunit delta
ENSMUSG00000029055	Plch2	269615	phospholipase C, eta 2
ENSMUSG00000029056	Pank4	269614	pantothenate kinase 4
ENSMUSG00000029059	Fam213b	66469	family with sequence similarity 213, member B
ENSMUSG00000029060	Mib2	76580	mindbomb E3 ubiquitin protein ligase 2
ENSMUSG00000029061	Mmp23	26561	matrix metallopeptidase 23
ENSMUSG00000029062	Cdk11b	12537	cyclin-dependent kinase 11B
ENSMUSG00000029063	Nadk	192185	NAD kinase
ENSMUSG00000029064	Gnb1	14688	guanine nucleotide binding protein (G protein), beta 1
ENSMUSG00000029066	Mrpl20	66448	mitochondrial ribosomal protein L20
ENSMUSG00000029068	Ccnl2	56036	cyclin L2
ENSMUSG00000029070	Mxra8	74761	matrix-remodelling associated 8
ENSMUSG00000029071	Dvl1	13542	dishevelled segment polarity protein 1
ENSMUSG00000029072	Tas1r3	83771	taste receptor, type 1, member 3
ENSMUSG00000029073	Cptp	79554	ceramide-1-phosphate transfer protein
ENSMUSG00000029076	Sdf4	20318	stromal cell derived factor 4
ENSMUSG00000029084	Cd38	12494	CD38 antigen
ENSMUSG00000029086	Prom1	19126	prominin 1
ENSMUSG00000029088	Kcnip4	80334	Kv channel interacting protein 4
ENSMUSG00000029089	Pacrgl	66768	PARK2 co-regulated-like
ENSMUSG00000029090	Adgra3	70693	adhesion G protein-coupled receptor A3
ENSMUSG00000029093	Sorcs2	81840	sortilin-related VPS10 domain containing receptor 2
ENSMUSG00000029094	Afap1	70292	actin filament associated protein 1
ENSMUSG00000029095	Ablim2	231148	actin-binding LIM protein 2
ENSMUSG00000029096	Htra3	78558	HtrA serine peptidase 3
ENSMUSG00000029097	Trmt44	78890	tRNA methyltransferase 44
ENSMUSG00000029098	Acox3	80911	acyl-Coenzyme A oxidase 3, pristanoyl
ENSMUSG00000029101	Rgs12	71729	regulator of G-protein signaling 12
ENSMUSG00000029103	Lrpap1	16976	low density lipoprotein receptor-related protein associated protein 1
ENSMUSG00000029104	Htt	15194	huntingtin
ENSMUSG00000029106	Add1	11518	adducin 1 (alpha)
ENSMUSG00000029108	Pcdh7	54216	protocadherin 7
ENSMUSG00000029110	Rnf4	19822	ring finger protein 4
ENSMUSG00000029111	Nelfa	24116	negative elongation factor complex member A, Whsc2
ENSMUSG00000029119	Man2b2	17160	mannosidase 2, alpha B2
ENSMUSG00000029120	Ppp2r2c	269643	protein phosphatase 2, regulatory subunit B, gamma
ENSMUSG00000029121	Crmp1	12933	collapsin response mediator protein 1
ENSMUSG00000029122	Evc	59056	EvC ciliary complex subunit 1
ENSMUSG00000029123	Stk32b	64293	serine/threonine kinase 32B
ENSMUSG00000029125	Stx18	71116	syntaxin 18
ENSMUSG00000029126	Nsg1	18196	neuron specific gene family member 1
ENSMUSG00000029127	Zbtb49	75079	zinc finger and BTB domain containing 49
ENSMUSG00000029128	Rab28	100972	RAB28, member RAS oncogene family
ENSMUSG00000029130	Rnf32	56874	ring finger protein 32
ENSMUSG00000029131	Dnajb6	23950	DnaJ heat shock protein family (Hsp40) member B6
ENSMUSG00000029134	Plb1	665270	phospholipase B1
ENSMUSG00000029135	Fosl2	14284	fos-like antigen 2
ENSMUSG00000029136	Rbks	71336	ribokinase
ENSMUSG00000029141	Slc4a1ap	20534	solute carrier family 4 (anion exchanger), member 1, adaptor protein
ENSMUSG00000029145	Eif2b4	13667	eukaryotic translation initiation factor 2B, subunit 4 delta
ENSMUSG00000029146	Snx17	266781	sorting nexin 17
ENSMUSG00000029147	Ppm1g	14208	protein phosphatase 1G (formerly 2C), magnesium-dependent, gamma isoform
ENSMUSG00000029148	Nrbp1	192292	nuclear receptor binding protein 1
ENSMUSG00000029149	Krtcap3	69815	keratinocyte associated protein 3
ENSMUSG00000029151	Slc30a3	22784	solute carrier family 30 (zinc transporter), member 3
ENSMUSG00000029152	Ociad1	68095	OCIA domain containing 1
ENSMUSG00000029153	Ociad2	433904	OCIA domain containing 2
ENSMUSG00000029154	Cwh43	231293	cell wall biogenesis 43 C-terminal homolog
ENSMUSG00000029155	Spata18	73472	spermatogenesis associated 18
ENSMUSG00000029156	Sgcb	24051	sarcoglycan, beta (dystrophin-associated glycoprotein)
ENSMUSG00000029161	Cgref1	68567	cell growth regulator with EF hand domain 1
ENSMUSG00000029162	Khk	16548	ketohexokinase
ENSMUSG00000029163	Emilin1	100952	elastin microfibril interfacer 1
ENSMUSG00000029165	Agbl5	231093	ATP/GTP binding protein-like 5
ENSMUSG00000029166	Mapre3	100732	microtubule-associated protein, RP/EB family, member 3
ENSMUSG00000029167	Ppargc1a	19017	peroxisome proliferative activated receptor, gamma, coactivator 1 alpha
ENSMUSG00000029168	Dpysl5	65254	dihydropyrimidinase-like 5
ENSMUSG00000029169	Dhx15	13204	DEAH (Asp-Glu-Ala-His) box polypeptide 15
ENSMUSG00000029171	Pgm1	66681	phosphoglucomutase 1
ENSMUSG00000029173	Sepsecs	211006	Sep (O-phosphoserine) tRNA:Sec (selenocysteine) tRNA synthase
ENSMUSG00000029174	Tbc1d1	57915	TBC1 domain family, member 1
ENSMUSG00000029175	Slc35f6	74919	solute carrier family 35, member F6
ENSMUSG00000029176	Anapc4	52206	anaphase promoting complex subunit 4
ENSMUSG00000029177	Cenpa	12615	centromere protein A
ENSMUSG00000029178	Klf3	16599	Kruppel-like factor 3 (basic)
ENSMUSG00000029179	Zcchc4	78796	zinc finger, CCHC domain containing 4
ENSMUSG00000029182	1700001C02Rik	75434	RIKEN cDNA 1700001C02 gene
ENSMUSG00000029185	Fam114a1	68303	family with sequence similarity 114, member A1
ENSMUSG00000029186	Pi4k2b	67073	phosphatidylinositol 4-kinase type 2 beta
ENSMUSG00000029189	Sel1l3	231238	sel-1 suppressor of lin-12-like 3 (C. elegans)
ENSMUSG00000029190	D5Ertd579e	320661	DNA segment, Chr 5, ERATO Doi 579, expressed
ENSMUSG00000029191	Rfc1	19687	replication factor C (activator 1) 1
ENSMUSG00000029192	Tbc1d14	100855	TBC1 domain family, member 14
ENSMUSG00000029196	Tada2b	231151	transcriptional adaptor 2B
ENSMUSG00000029198	Grpel1	17713	GrpE-like 1, mitochondrial
ENSMUSG00000029199	Lias	79464	lipoic acid synthetase
ENSMUSG00000029201	Ugdh	22235	UDP-glucose dehydrogenase
ENSMUSG00000029202	Pds5a	71521	PDS5 cohesin associated factor A
ENSMUSG00000029203	Ube2k	53323	ubiquitin-conjugating enzyme E2K
ENSMUSG00000029204	Rhoh	74734	ras homolog family member H
ENSMUSG00000029206	Nsun7	70918	NOL1/NOP2/Sun domain family, member 7
ENSMUSG00000029207	Apbb2	11787	amyloid beta (A4) precursor protein-binding, family B, member 2
ENSMUSG00000029208	Guf1	231279	GUF1 homolog, GTPase
ENSMUSG00000029209	Gnpda2	67980	glucosamine-6-phosphate deaminase 2
ENSMUSG00000029211	Gabra4	14397	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 4
ENSMUSG00000029212	Gabrb1	14400	gamma-aminobutyric acid (GABA) A receptor, subunit beta 1
ENSMUSG00000029213	Commd8	27784	COMM domain containing 8
ENSMUSG00000029217	Tec	21682	tec protein tyrosine kinase
ENSMUSG00000029219	Slc10a4	231290	solute carrier family 10 (sodium/bile acid cotransporter family), member 4
ENSMUSG00000029221	Slc30a9	109108	solute carrier family 30 (zinc transporter), member 9
ENSMUSG00000029223	Uchl1	22223	ubiquitin carboxy-terminal hydrolase L1
ENSMUSG00000029227	Fip1l1	66899	FIP1 like 1 (S. cerevisiae)
ENSMUSG00000029228	Lnx1	16924	ligand of numb-protein X 1
ENSMUSG00000029229	Chic2	74277	cysteine-rich hydrophobic domain 2
ENSMUSG00000029231	Pdgfra	18595	platelet derived growth factor receptor, alpha polypeptide
ENSMUSG00000029233	Srd5a3	57357	steroid 5 alpha-reductase 3
ENSMUSG00000029234	Tmem165	21982	transmembrane protein 165
ENSMUSG00000029238	Clock	12753	circadian locomotor output cycles kaput
ENSMUSG00000029245	Epha5	13839	Eph receptor A5
ENSMUSG00000029246	Ppat	231327	phosphoribosyl pyrophosphate amidotransferase
ENSMUSG00000029247	Paics	67054	phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoribosylaminoimidazole, succinocarboxamide synthetase
ENSMUSG00000029249	Rest	19712	RE1-silencing transcription factor
ENSMUSG00000029250	Polr2b	231329	polymerase (RNA) II (DNA directed) polypeptide B
ENSMUSG00000029253	Cenpc1	12617	centromere protein C1
ENSMUSG00000029263	Pigg	433931	phosphatidylinositol glycan anchor biosynthesis, class G
ENSMUSG00000029265	Dr1	13486	down-regulator of transcription 1
ENSMUSG00000029267	Mtf2	17765	metal response element binding transcription factor 2
ENSMUSG00000029270	Fam69a	67266	family with sequence similarity 69, member A
ENSMUSG00000029276	Glmn	170823	glomulin, FKBP associated protein
ENSMUSG00000029279	Brdt	114642	bromodomain, testis-specific
ENSMUSG00000029283	Cdc7	12545	cell division cycle 7 (S. cerevisiae)
ENSMUSG00000029287	Tgfbr3	21814	transforming growth factor, beta receptor III
ENSMUSG00000029290	Zfp326	54367	zinc finger protein 326
ENSMUSG00000029291	Rufy3	52822	RUN and FYVE domain containing 3
ENSMUSG00000029298	Gbp9	236573	guanylate-binding protein 9
ENSMUSG00000029304	Spp1	20750	secreted phosphoprotein 1
ENSMUSG00000029307	Dmp1	13406	dentin matrix protein 1
ENSMUSG00000029309	Sparcl1	13602	SPARC-like 1
ENSMUSG00000029310	Nudt9	74167	nudix (nucleoside diphosphate linked moiety X)-type motif 9
ENSMUSG00000029311	Hsd17b11	114664	hydroxysteroid (17-beta) dehydrogenase 11
ENSMUSG00000029312	Klhl8	246293	kelch-like 8
ENSMUSG00000029313	Aff1	17355	AF4/FMR2 family, member 1
ENSMUSG00000029314	Gpat3	231510	glycerol-3-phosphate acyltransferase 3
ENSMUSG00000029319	Coq2	71883	coenzyme Q2 4-hydroxybenzoate polyprenyltransferase
ENSMUSG00000029326	Enoph1	67870	enolase-phosphatase 1
ENSMUSG00000029328	Hnrnpdl	50926	heterogeneous nuclear ribonucleoprotein D-like
ENSMUSG00000029330	Cds1	74596	CDP-diacylglycerol synthase 1
ENSMUSG00000029334	Prkg2	19092	protein kinase, cGMP-dependent, type II
ENSMUSG00000029335	Bmp3	110075	bone morphogenetic protein 3
ENSMUSG00000029337	Fgf5	14176	fibroblast growth factor 5
ENSMUSG00000029338	Antxr2	71914	anthrax toxin receptor 2
ENSMUSG00000029343	Crybb1	12960	crystallin, beta B1
ENSMUSG00000029344	Tpst2	22022	protein-tyrosine sulfotransferase 2
ENSMUSG00000029345	Tfip11	54723	tuftelin interacting protein 11
ENSMUSG00000029346	Srrd	70118	SRR1 domain containing
ENSMUSG00000029348	Asphd2	72898	aspartate beta-hydroxylase domain containing 2
ENSMUSG00000029352	Crybb3	12962	crystallin, beta B3
ENSMUSG00000029359	Tesc	57816	tescalcin
ENSMUSG00000029361	Nos1	18125	nitric oxide synthase 1, neuronal
ENSMUSG00000029363	Rfc5	72151	replication factor C (activator 1) 5
ENSMUSG00000029364	Wsb2	59043	WD repeat and SOCS box-containing 2
ENSMUSG00000029366	Dck	13178	deoxycytidine kinase
ENSMUSG00000029371	Cxcl5	20311	chemokine (C-X-C motif) ligand 5
ENSMUSG00000029376	Mthfd2l	665563	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2-like
ENSMUSG00000029381	Shroom3	27428	shroom family member 3
ENSMUSG00000029385	Ccng2	12452	cyclin G2
ENSMUSG00000029387	Gtf2h3	209357	general transcription factor IIH, polypeptide 3
ENSMUSG00000029388	Eif2b1	209354	eukaryotic translation initiation factor 2B, subunit 1 (alpha)
